id,organisation,org_type,course_count,career_count,org_id,top_career,top_career_courses
12164,Academy of Interactive Entertainment (AIE),Higher Education Institutions,0,0,,,
12166,Camden Haven Community College Inc,Registered Training Organisation,0,0,,,
12171,Status Works Pty Ltd,Registered Training Organisation,0,0,,,
12174,ACE Community Colleges Ltd,Registered Training Organisation,0,0,,,
12177,Australian Pacific College,Registered Training Organisation,4,0,,,
12179,Life International Training Pty Ltd,Registered Training Organisation,0,0,,,
12189,TFIA Business Services Pty Ltd,Registered Training Organisation,0,0,,,
12192,Australian Training Company Ltd,Registered Training Organisation,0,0,,,
12194,Quality College of Australia,Registered Training Organisation,0,0,,,
12201,Benchmark College,Registered Training Organisation,0,0,,,
12202,Australian Institute of Early Childhood Studies,Registered Training Organisation,0,0,,,
12206,Academy of Fitness,Registered Training Organisation,0,0,,,
12213,Progressive Training (WA) Pty Ltd,Registered Training Organisation,0,0,,,
12214,Latrobe University / Didasko,University/Higher Education Institution,7,10,12214.0,Computer Engineer,1.0
12216,Integrated Care & Management Training,Registered Training Organisation,0,0,,,
12218,Milcom Institute,Registered Training Organisation,1,0,,,
12226,Ballarat Group Training (BGT),Registered Training Organisation,0,0,,,
12227,Learning Lab Pty Ltd,Registered Training Organisation,2,0,,,
12228,Re:Viva First Aid & Resuscitation Training Pty Ltd,Registered Training Organisation,0,0,,,
12230,FCTA - Building Careers,Registered Training Organisation,0,0,,,
12233,Edinburgh Institute,Registered Training Organisation,2,0,,,
12236,Murray Adult Community Education - Swan Hill Inc,Registered Training Organisation,0,0,,,
12247,Eureka 4WD Training,Registered Training Organisation,0,0,,,
