id,name,school_type,state,web_address,has_destinations,has_naplan
76088,Coolamon Central School,Combined School - Government,N/A,www.coolamon-c.schools.nsw.edu.au,Yes,Yes
70883,Coomandook Area School,Combined School - Government,N/A,www.coomyas.sa.edu.au,Yes,Yes
70373,Corrigin District High School,Combined School - Government,N/A,www.corrigindhs.wa.edu.au,Yes,Yes
76436,Corryong P-12 College,Combined School - Government,N/A,www.corryong.vic.edu.au,Yes,Yes
70947,Cowell Area School,Combined School - Government,N/A,www.cowellas.sa.edu.au,Yes,Yes
75928,Creekside College,Combined School - Government,N/A,www.creeksidecollege.vic.edu.au,Yes,Yes
76707,Cressy District High School,Combined School - Government,N/A,www.cressydistricthigh.education.tas.edu.au/Pages/Home.aspx,Yes,Yes
77271,Crow's Nest State School,Combined School - Government,N/A,www.crowsnestss.eq.edu.au/,Yes,Yes
70453,Cummins Area School,Combined School - Government,N/A,www.cumminsas.sa.edu.au,Yes,Yes
68613,Cunderdin District High School,Combined School - Government,N/A,www.cunderdindhs.wa.edu.au,Yes,Yes
70779,Cunnamulla P-12 State School,Combined School - Government,N/A,www.cunnamullap12ss.eq.edu.au/,Yes,Yes
70668,Dalwallinu District High School,Combined School - Government,N/A,www.dalwallinudhs.wa.edu.au,Yes,Yes
72111,Dawul Remote Community School,Combined School - Government,N/A,www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5691,Yes,Yes
